CIF_NO,CNT,REFERENCE_NO,TX_DT,MCHT_CATEGORY,MCHT_NO,MCHT_ENG_NAME,MCHT_CHI_NAME,BIN_TYPE,MCHT_COUNTRY,COUNTRY,CITY,TXN_TYP,DEST_AMT,Mcc_Desc,MCC_Group_Cd,MCC_Group,CUSTOMER_SINCE,CHNL,CHNL_DESC,MCHT_CHI_NAME_CHANGE,MCHT_CHI_NAME_CHANGE_V1,CUST_TYPE,GENDER,Industry_Typ,FLG_AGE,AGE,TOWN_COUNTRY,COTRY_REMARK,CITY_REMARK
1000001319,1,1700000090,11-Jan-17,5542,1216420036,TAI YA,　台亞安南站－自助加油區　　　　　　　　,V,國內,TW,TAINAN,非網路交易,1,自助加油站,6,行,2017/1/4,7.自來案件,自來案件,FORMOSA OIL,自助加油區　　　　　　　　,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
1000001319,1,1700000091,11-Jan-17,5542,1.00492E+11,NPC,全國加油站永康自助　　　　　　　　　　　,V,國內,TW,TAINAN,網路交易,497,自助加油站,6,行,2017/1/4,7.自來案件,自來案件,NPC,,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
1000001319,1,1700000092,11-Jan-17,6300,101618137,CHINA LIFE INSURANCE CO.L,中壽５３１３６３３６　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,3453,保險,13,金融服務,2017/1/4,7.自來案件,自來案件,中壽５３１３６３３６　　　　　　　　　　,,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台北市
1000001319,1,1700000093,10-Jan-17,5542,6224400225,CHIEN YUCH,千越加油站實業股份有限公司西　　　　　　,V,國內,TW,TAINAN,網路交易,2,自助加油站,6,行,2017/1/4,7.自來案件,自來案件,千越加油站實業股份有限公司西　　　　　　,,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
1000001319,1,1700000094,11-Jan-17,5542,6224400225,CHIEN YUCH,千越加油站實業股份有限公司西　　　　　　,V,國內,TW,TAINAN,網路交易,2,自助加油站,6,行,2017/1/4,7.自來案件,自來案件,千越加油站實業股份有限公司西　　　　　　,,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
1000001319,1,1700000095,10-Jan-17,5542,6224400225,CHIEN YUCH,千越加油站實業股份有限公司西　　　　　　,V,國內,TW,TAINAN,網路交易,2,自助加油站,6,行,2017/1/4,7.自來案件,自來案件,千越加油站實業股份有限公司西　　　　　　,,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
1000001460,1,1700000096,11-Jan-17,4722,101616668,HSI HUNG,喜鴻旅行社有限公司　　　　　　　　　　　,V,國內,TW,TAIPEI,網路交易,35400,旅行社,1,旅遊消費,2017/1/5,5.分行開戶,其他分行,喜鴻旅行社有限公司　　　　　　　　　　　,,GENERAL,FEMALE,醫療服務/衛生保健業,60+,68.8,台北市大安區,台灣,台北市
1000000335,1,1700000097,10-Jan-17,5399,1011120260,WATSONS-S0469,　屈臣氏Ｓ０４６９西門店　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,109,其他綜合零售,19,量販零售,2016/12/19,1.員工開戶,員工開戶,WATSONS,,STAFF,FEMALE,金融/證券/保險業,41-45,43.1,新北市新店區,台灣,台北市
1000000588,1,1700000098,11-Jan-17,5541,1522401879,OIL TAIWAN,中油－長和加油站（Ｄ４２７９　　　　　　,V,國內,TW,HSINCHU,非網路交易,14,加油站,6,行,2016/12/19,1.員工開戶,員工開戶,OIL TAIWAN,長和加油站（Ｄ４２７９　　　　　　,STAFF,MALE,金融/證券/保險業,31-35,33.2,台北市內湖區,台灣,新竹市
1000000705,1,1700000099,11-Jan-17,5812,8.12127E+11,mr. brown coffee,伯朗咖啡台中中港店　　　　　　　　　　　,V,國內,TW,TAICHUNG,非網路交易,235,餐廳,3,食,2016/12/19,1.員工開戶,員工開戶,伯朗咖啡台中中港店　　　　　　　　　　　,,STAFF,MALE,金融/證券/保險業,36-40,36.5,台中市沙鹿區,台灣,台中市
